Date(YYYY-MM-DD): 2021-3-1
Time(HH:MM:SS): 0:4:11
ID,YYYY,MM,DD,HH,MM,Temp[C],RH[%],DSTemp[C]
1,2021,3,1,0,4,23.00,42.40,21.88
2,2021,3,1,0,14,23.10,42.90,22.38
3,2021,3,1,0,24,23.50,43.70,22.56
4,2021,3,1,0,34,23.40,43.50,22.63
5,2021,3,1,0,44,23.40,43.80,22.69
6,2021,3,1,0,54,23.50,44.20,22.69
7,2021,3,1,1,4,23.50,44.50,22.69
8,2021,3,1,1,14,23.30,44.60,22.56
9,2021,3,1,1,24,23.00,44.80,22.44
10,2021,3,1,1,34,22.90,45.00,22.44
11,2021,3,1,1,44,22.80,45.00,22.38
12,2021,3,1,1,54,22.70,45.10,22.38
13,2021,3,1,2,4,22.70,45.20,22.38
14,2021,3,1,2,14,22.70,45.30,22.31
15,2021,3,1,2,24,22.60,45.30,22.31
16,2021,3,1,2,34,22.60,45.40,22.31
17,2021,3,1,2,44,22.60,45.50,22.31
18,2021,3,1,2,54,22.60,45.60,22.31
19,2021,3,1,3,4,22.50,45.60,22.25
20,2021,3,1,3,14,22.60,45.70,22.25
21,2021,3,1,3,24,22.60,45.80,22.25
22,2021,3,1,3,34,22.50,45.80,22.25
23,2021,3,1,3,44,22.50,45.90,22.31
24,2021,3,1,3,54,22.50,46.00,22.25
25,2021,3,1,4,4,22.50,46.00,22.25
26,2021,3,1,4,14,22.50,46.10,22.25
27,2021,3,1,4,24,22.50,46.30,22.25
28,2021,3,1,4,34,22.50,46.10,22.25
29,2021,3,1,4,44,22.50,46.30,22.25
30,2021,3,1,4,54,22.50,46.40,22.25
31,2021,3,1,5,4,22.50,46.40,22.25
32,2021,3,1,5,14,22.50,46.40,22.25
33,2021,3,1,5,24,22.50,46.50,22.25
34,2021,3,1,5,34,22.50,46.60,22.25
35,2021,3,1,5,44,22.50,46.70,22.25
36,2021,3,1,5,54,22.60,47.00,22.25
37,2021,3,1,6,4,22.60,47.20,22.25
38,2021,3,1,6,14,22.50,47.20,22.25
