Date(YYYY-MM-DD): 2021-1-24
Time(HH:MM:SS): 21:9:27
ID,YYYY,MM,DD,HH,MM,Temp[C],RH[%],DSTemp[C]
1,2021,1,24,21,9,23.80,55.60,24.06
2,2021,1,24,21,19,23.60,51.70,24.25
3,2021,1,24,21,29,23.60,52.00,24.25
4,2021,1,24,21,39,23.60,52.10,24.25
5,2021,1,24,21,49,23.60,52.00,24.25
6,2021,1,24,21,59,23.60,52.50,24.25
7,2021,1,24,22,9,23.60,52.10,24.25
8,2021,1,24,22,19,23.60,51.50,24.25
9,2021,1,24,22,29,23.60,51.90,24.25
10,2021,1,24,22,39,23.60,51.70,24.19
11,2021,1,24,22,49,23.60,51.40,24.25
12,2021,1,24,22,59,23.70,51.10,24.25
13,2021,1,24,23,9,23.70,51.00,24.25
14,2021,1,24,23,19,23.70,50.70,24.25
15,2021,1,24,23,29,23.70,50.60,24.25
16,2021,1,24,23,39,23.60,50.10,24.19
17,2021,1,24,23,49,23.50,49.60,24.13
18,2021,1,24,23,59,23.50,49.40,24.06
19,2021,1,25,0,9,23.40,49.00,24.06
20,2021,1,25,0,19,23.40,49.10,24.06
21,2021,1,25,0,29,23.40,49.20,24.06
22,2021,1,25,0,39,23.40,49.00,24.00
23,2021,1,25,0,49,23.40,49.30,24.00
24,2021,1,25,0,59,23.40,49.60,24.00
25,2021,1,25,1,9,23.40,50.00,24.00
26,2021,1,25,1,19,23.30,49.90,24.00
27,2021,1,25,1,29,23.30,49.90,23.94
28,2021,1,25,1,39,23.30,49.80,23.94
29,2021,1,25,1,49,23.30,49.30,23.94
30,2021,1,25,1,59,23.30,49.00,23.94
31,2021,1,25,2,9,23.30,48.90,23.94
32,2021,1,25,2,19,23.30,48.80,23.94
33,2021,1,25,2,29,23.30,48.60,23.94
34,2021,1,25,2,39,23.30,48.60,23.94
35,2021,1,25,2,49,23.30,48.90,23.94
36,2021,1,25,2,59,23.30,48.70,23.94
37,2021,1,25,3,9,23.30,48.60,23.94
38,2021,1,25,3,19,23.30,48.60,23.94
39,2021,1,25,3,29,23.30,48.70,23.88
40,2021,1,25,3,39,23.30,48.70,23.94
41,2021,1,25,3,49,23.30,49.30,23.94
42,2021,1,25,3,59,23.30,49.60,23.94
43,2021,1,25,4,9,23.30,49.80,23.94
44,2021,1,25,4,19,23.20,49.10,23.94
45,2021,1,25,4,29,23.30,49.20,23.88
46,2021,1,25,4,39,23.30,49.70,23.88
47,2021,1,25,4,49,23.30,49.40,23.88
48,2021,1,25,4,59,23.20,49.50,23.88
49,2021,1,25,5,9,23.20,49.40,23.88
50,2021,1,25,5,19,23.20,49.20,23.88
51,2021,1,25,5,29,23.20,48.90,23.88
52,2021,1,25,5,39,23.20,49.10,23.88
53,2021,1,25,5,49,23.20,48.60,23.88
54,2021,1,25,5,59,23.20,48.40,23.88
55,2021,1,25,6,9,23.20,48.60,23.88
